params,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_test_MSE,std_test_MSE,rank_test_MSE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-0.07364221249766763,0.034727950295493026,2,-0.013255387670047747,0.015411210499633102,3,-3.265198861903479,2.0528630319234233,1
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.06743631936227006,0.031788125238405365,1,-0.010589115292153516,0.011094262731800452,1,-4.461563141044972,2.6990238267129985,3
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-0.08261931699409744,0.029284919177111176,7,-0.015312698652222803,0.01479265958162433,8,-4.074560597501209,2.381156101147512,2
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",-0.07523381611352327,0.029235656383325613,3,-0.013692167040497024,0.013089153809129794,4,-5.6544937438049105,3.9259171417780974,5
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-0.07614783154700713,0.033452769689177306,4,-0.012703935696087219,0.011798163639321119,2,-5.2541507862463614,2.958218011361894,4
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-0.08459702654524029,0.030492685234802325,8,-0.014557752425832623,0.011280681659785114,7,-5.758503638580175,2.9463019726436723,6
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",-0.07625903189943037,0.029220997937102044,5,-0.01376300967327192,0.01278763366650816,5,-6.220422840092464,3.766682045306311,7
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",-0.07641735569102825,0.029161229716524004,6,-0.013788929716357357,0.012773219980399058,6,-6.25388123466094,3.737109634011224,8
