params,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_test_MSE,std_test_MSE,rank_test_MSE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-0.05501146825166876,0.025910224905481803,1,-0.00745883567259565,0.0065770269162432485,1,-2.8501215285788994,1.5779263852300718,1
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.06380862114233929,0.04400997978739704,3,-0.010451635397517409,0.011272367116473293,3,-4.222399488020518,2.66059548974816,3
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-0.0631859315957402,0.029526680515353856,2,-0.008942808930305284,0.007671704540398086,2,-3.1972526199470046,1.8644268313444599,2
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",-0.07098831315094872,0.04272525224171319,4,-0.012423229390947069,0.012565171350759378,4,-4.546875152851265,3.111838997046824,4
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-0.07278147997111885,0.05366150071495891,7,-0.012580101564163042,0.014718434438281695,6,-5.0560343258609945,3.50643738050475,7
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-0.08261753321124352,0.05598826086799227,8,-0.014660651537767891,0.016422593050777298,8,-6.11601489057289,3.9489038274868977,8
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",-0.07213404579471135,0.04113959188012577,5,-0.012558246665582246,0.012127708499047245,5,-4.688219114254147,2.8238951676366773,5
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",-0.07241906732151285,0.04150609944011476,6,-0.012652520221052085,0.012255352004207595,7,-4.71955231935757,2.896918097119865,6
