params,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_test_MSE,std_test_MSE,rank_test_MSE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-943397.3157511033,173543.83704581502,7,-1589620263069.4246,823284842239.3433,7,-0.17029905188731181,0.05123454025147648,7
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-320215.5375908731,325472.75405279355,3,-565142890753.6622,858012380169.929,2,-0.05944216051990061,0.06727509123598574,1
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-966428.159114742,204737.10944306126,8,-1694675263765.8613,970612707691.1703,8,-0.1750083045866493,0.058611799010181445,8
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",-369367.23406632926,357678.76441299106,6,-693949177857.726,993478057098.9039,6,-0.06822770858955308,0.0748168820093246,6
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-319019.27793577046,330274.4229871261,2,-569249312352.983,879182986846.2386,3,-0.06005103999364175,0.06831628113629595,2
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-319014.2354439136,312353.1371556284,1,-539060080092.7938,814203155115.3542,1,-0.06043067681703036,0.06503243622058379,3
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",-356198.84808162204,348526.1725291874,4,-651303318859.6267,946218631050.8965,5,-0.06639840731638466,0.07271222850302937,4
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",-356252.6173999528,347250.1731126982,5,-648780831358.4016,942492063728.0306,4,-0.06649226353587587,0.07243887413449752,5
