epoch,train_loss,val_loss
1,0.011368789625807691,0.012974033865964773
2,0.009977087749014193,0.01634718229843661
3,0.007606204943123335,0.020099236807770947
4,0.023147146405609494,0.03381274504258844
5,0.02788363291169422,0.03276540610202011
6,0.02932523049435309,0.03184831385064161
7,0.029358242549439455,0.03161838480257114
8,0.029438639718911558,0.03154248564883515
9,0.0295288973535442,0.031514589797065715
10,0.029613018943416315,0.031505086351558145
11,0.029687137551610128,0.03150346820140616
12,0.029751336639925945,0.03150537560160491
13,0.02980657059566734,0.031508455859212185
14,0.028963771096133805,0.032031515623650836
15,0.03296381192550042,0.03197762784588172
16,0.03310217243050706,0.03199772775909047
17,0.033247295728209954,0.03201635777420691
18,0.0333732408411457,0.032033507699293896
19,0.033483311811596944,0.032049209848074175
20,0.03358003555854776,0.03206356806179534
21,0.03366549769512984,0.032076672382939854
22,0.033741332651081826,0.032088614197491795
23,0.03380886711892951,0.032099490002037386
24,0.03386919539722585,0.0321093855688423
25,0.033923227914012664,0.03211838776699354
26,0.03397173509459185,0.03212657989777298
27,0.03401536986329197,0.032134030262350455
28,0.03405469084321969,0.03214081057221578
29,0.03409017940843358,0.03214697876657344
30,0.034122252993611775,0.032152592779053225
31,0.03415127527631533,0.03215770584799759
32,0.03417756545393744,0.03216236014597834
33,0.034201402673864865,0.032166602735968955
34,0.03422303565769784,0.032170465250185624
35,0.03424267887413962,0.03217397757875219
36,0.034239828514517234,0.03213424515571436
37,0.0342668422649125,0.032180095744398354
38,0.03429081932279846,0.03218262181594672
39,0.034304258149532134,0.032185106898152425
40,0.03431658400133505,0.03218733226504836
41,0.03432778302476085,0.032189378183888354
42,0.03433801611757415,0.03219123356381561
43,0.03434732374985115,0.032192921893809824
44,0.0343557222593029,0.03219412021364026
45,0.03436336885381943,0.032195499265100284
46,0.034370443051714245,0.03219698780079348
47,0.03437705044149211,0.03219832689144216
48,0.034307463023145815,0.035590557529937006
49,0.02733605016214018,0.035918326013618045
50,0.02890825722025449,0.03322122730189301
51,0.029010166373808974,0.03237602853742691
52,0.029073633469511844,0.03200166928764813
53,0.029132669861549873,0.03181119116697024
54,0.029186498792832808,0.03170534509160614
55,0.02923543503182221,0.03164175946057802
56,0.02927988325591535,0.031602622396906706
57,0.02931927322122479,0.03157635247756424
58,0.029353725683772147,0.031558281855272347
59,0.02924104465644273,0.03172646661933959
60,0.029519372486941073,0.03153647658834286
61,0.02943274821054859,0.031551023591916035
62,0.029455295948551112,0.03152473315211927
63,0.029470729170329123,0.03152068271073473
64,0.029492047088356108,0.031142039559683993
65,0.02895955109849868,0.03151786615155718
66,0.029504873510763703,0.031514551294037255
67,0.02951573560975633,0.03151281519168957
68,0.02939832285774567,0.04215310320113198
69,0.027890318589627,0.03648235707683506
70,0.028586092269691356,0.035122835040761434
71,0.02883458611344932,0.034223198418230585
72,0.0288303429303275,0.033750317300911305
73,0.028828831240382297,0.03346027874551906
74,0.028832348461400058,0.033263905874874725
75,0.028837768903890365,0.03312227440725495
76,0.02884362387848607,0.033015588016221016
77,0.028849293662597537,0.03293285521532639
78,0.028854563160122304,0.03286688705140448
79,0.02885933475502609,0.032813480447906704
80,0.028863618098582546,0.032769519692162116
81,0.028867435787000253,0.0327329609586289
82,0.02887083140767596,0.03270213332011866
83,0.028873839234903623,0.03267613492886582
84,0.028876527149537423,0.03265382847450799
85,0.02887889730972237,0.03263462954359335
86,0.028880998107832855,0.03261819637383676
87,0.028882885093906418,0.03260385787084537
88,0.028884543291769413,0.03259135020239675
89,0.02888602025365683,0.03258049302290898
90,0.02888733243533209,0.03257092174171866
91,0.028888494333381063,0.032562633405630835
92,0.028889549159646356,0.03255527588482033
93,0.028890474696424823,0.03254877860085419
94,0.02889129324504005,0.03254302113055291
95,0.02889202121206697,0.03253803287207344
96,0.02889269224366253,0.032533556588058204
97,0.028893274324022285,0.03252959157052086
98,0.02889379231497668,0.03252606266559709
99,0.028894252199075824,0.03252292425276588
100,0.028894664417068627,0.032520202025799014
101,0.02889504275870235,0.03251773770097218
102,0.028895369378884664,0.0325155397309175
103,0.02889565816967489,0.03251357072197093
104,0.02889591274249197,0.032511884874109914
105,0.02889616347713117,0.032510342082692316
106,0.028896372404013198,0.032508969085351655
107,0.028896559665578817,0.032507743862040514
108,0.02889672620182007,0.032506650640551533
