epoch,train_loss,val_loss
1,0.017952795606044406,0.0014994533869352256
2,0.004891919681612761,0.0014326608951989483
3,0.00474080224774724,0.0012734033639689004
4,0.0039823645135710515,0.0012292282879162505
5,0.0035042705896228643,0.0012172593478151602
6,0.003316949423131207,0.0011524632750654514
7,0.0032482694879650206,0.001146991435446402
8,0.0031886366314612595,0.0011805067388841513
9,0.003181245822065166,0.0012250261829694074
10,0.003256800232873279,0.0011511403591651364
11,0.0033199284894970043,0.0011670637032224248
12,0.0035863617106581948,0.0011559084295566199
13,0.0033213385768141312,0.0011484551565364026
14,0.0037358582176454935,0.0012158104814808128
15,0.003766833013321122,0.0011882004832054502
16,0.0035641366239548685,0.0011933867923703497
17,0.0036990521733131177,0.0011646217778296043
18,0.0037807209718285725,0.0015164112206762937
19,0.003931754980583131,0.001424041047276486
20,0.003660646161992536,0.0012377961527787868
21,0.0035128618009590685,0.0012374114916313286
22,0.0035501810636274973,0.0012248838724044397
23,0.003805458497050322,0.0012315638800446775
24,0.0038107731860944458,0.0011584768344550334
25,0.0038591210212397882,0.0012150901262761476
26,0.003558441743157175,0.0012008377408788476
27,0.003957078008536968,0.0011416287418570684
28,0.003519073130105563,0.0012761749279468326
29,0.0035615089480413977,0.0012972810269709682
30,0.008196025734502219,0.0012001604726357676
31,0.004145136712735393,0.0014931711966607165
32,0.0035583664852829157,0.0014754045385626607
33,0.0037885196233679807,0.0015890698499704545
34,0.0038479654492898072,0.0017228041420823056
35,0.003942777699878722,0.0017234150922210648
36,0.003627980899529593,0.0016084736245942587
37,0.0038431362271379955,0.001750957980110167
38,0.0036550187697089744,0.0018017386366742207
39,0.003743045336316053,0.0016787539397704503
40,0.0035204680687023035,0.0014253516802164334
41,0.0038673585756934413,0.0014587089793821016
42,0.003764386100960878,0.0019425109348298406
43,0.003500756823588339,0.0016497090619325974
44,0.003485269033770804,0.001348110631134726
45,0.004510992974008358,0.0015260193611048014
46,0.0037158964742594956,0.0016394246078276012
47,0.003560073928046876,0.0017245204315476123
48,0.003609714063429305,0.0015015653091256147
49,0.0037338360421380907,0.0016307139765500786
50,0.0043107471998387915,0.0011907424814593453
51,0.003468138076267104,0.001455453398982144
52,0.003396350771482655,0.0017376605361843136
53,0.003926582807092136,0.0016394602504836216
54,0.0038467724940948146,0.00154268860824479
55,0.003571290177216971,0.0016508602669600887
56,0.0034906376972019984,0.0016316971584163463
57,0.0037148662978713433,0.001728821346303184
58,0.003502232322705818,0.001332934321783281
59,0.0036046945773364723,0.0014590477983338634
60,0.00373505221305141,0.00174245606849265
61,0.0035232133787347466,0.0013688320201255474
62,0.0036772915739921373,0.001509998363054624
63,0.0036005824615793023,0.0016792782290248399
64,0.0035916408010475474,0.0015109732723000736
65,0.0037247404568625285,0.0017484245782324556
66,0.003855369976112748,0.001471512133723242
67,0.0035180358909161426,0.0014903770424787694
68,0.00384466755336514,0.0017227882993473016
69,0.003570421198657513,0.0013350450921175352
70,0.0035421164803463075,0.00134271817606846
71,0.0037744287088465798,0.0014554732661191494
72,0.0038769105872619096,0.0016671632400564536
73,0.003842416398500636,0.0014633138566328078
74,0.0034360969358712547,0.0015429498442379689
75,0.003478392692471247,0.0016910809223212879
76,0.0038099062438791886,0.001519436412858277
77,0.003573725811390653,0.0014618801248512559
78,0.0038000111351612293,0.0012433630633707762
79,0.0038904105986427373,0.0017908788119621916
80,0.0036125214057627308,0.0013093761263420233
81,0.003734722761634816,0.001516138613365039
82,0.003839190709392846,0.0016356483252423562
83,0.003891367358143747,0.0014920004109698643
84,0.00511141449598874,0.0012314885518300148
85,0.0035273033187163023,0.0014993432589702081
86,0.003681861246188555,0.0014249304800622732
87,0.0036789777974588294,0.0014357784498470272
88,0.0037533705935145025,0.0015287630972451581
89,0.0037452129954626224,0.0016740622833666908
90,0.0035855524779263995,0.0015079726848796799
91,0.0035847029412847038,0.0014746305275482646
92,0.0035799523382336476,0.0014927415110076072
93,0.0035434378766574883,0.0014943913541566503
94,0.00382827083092205,0.0014551220579769389
95,0.0036058988240102127,0.0015760478197993993
96,0.003738832983597159,0.0016181355114244943
97,0.003932246909900055,0.0017595455289348637
98,0.003676024243599322,0.0016133109533138842
99,0.003492458345822799,0.0015272002580119135
100,0.003840742739612142,0.0016483869235038259
101,0.0035571272946023098,0.0014177006138027125
102,0.003745703918781597,0.0014935719692421487
103,0.0037075388344665386,0.0016169166759090134
104,0.003624913519389611,0.0014931465926828185
105,0.003825707243522163,0.0017033109499321256
106,0.00435545089684066,0.0019047590613889439
107,0.0035475417368493628,0.0016095431765210755
108,0.0037717363127611992,0.001505354226045534
109,0.0036356097566900775,0.001665114743922973
110,0.003565069651492976,0.001392447480757475
111,0.0035629012688151657,0.0014600760041118264
112,0.0034932299777100176,0.001638204422476244
113,0.003544072821133591,0.001347571028695357
114,0.003626546164804629,0.0015007120540784602
115,0.0034477509753639444,0.0014995332857436737
116,0.003516256807883661,0.0012693538052590075
117,0.003855471033478727,0.0013866176846252722
