params,mean_test_MAE,std_test_MAE,rank_test_MAE,mean_test_MSE,std_test_MSE,rank_test_MSE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-979406.8782241117,158558.61331938964,7,-1689746222256.5593,689341070163.9089,7,-0.17652703342348325,0.04730675625358538,7
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-465822.81812232314,355562.13646747184,1,-748293294387.6637,819401161383.0525,1,-0.08958453949352446,0.077879904898657,1
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-1054763.5168942611,214236.5431114712,8,-1948490767838.7317,944410024952.1143,8,-0.19296248605358102,0.06472703576489762,8
"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",-562325.7281530083,346603.2201999961,3,-916367222601.8591,896452124059.0549,3,-0.10658569370977904,0.0797938776684197,2
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-542831.3708545172,406413.00281251647,2,-865634586416.0057,907393018925.9369,2,-0.10919147800371642,0.09137059048963254,3
"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",-693598.781611313,425931.28972904244,6,-1118676499272.0562,1030028087842.0796,6,-0.14038290229909306,0.09547538327383212,6
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",-591409.13526925,333271.48360332457,4,-925691900145.7877,866650286112.8553,4,-0.11413795803349654,0.07755518600175378,4
"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",-603818.0560471078,326355.18863454735,5,-935912132927.808,863492544543.4192,5,-0.11687795256050307,0.0763096516883798,5
